Regions,Gender,Age_group,Deaths
Atlantic Region,Male,0 to 19 years,10015
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,9732
Atlantic Region,Male,0 to 19 years,283
Atlantic Region,Male,0 to 19 years,13
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,10
Atlantic Region,Male,0 to 19 years,3
Atlantic Region,Male,0 to 19 years,105
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,65
Atlantic Region,Male,0 to 19 years,40
Atlantic Region,Male,0 to 19 years,5774
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,5534
Atlantic Region,Male,0 to 19 years,240
Atlantic Region,Male,0 to 19 years,4123
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,4123
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,3184
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,2976
Atlantic Region,Male,0 to 19 years,208
Atlantic Region,Male,0 to 19 years,3
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,3
Atlantic Region,Male,0 to 19 years,41
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,6
Atlantic Region,Male,0 to 19 years,35
Atlantic Region,Male,0 to 19 years,1986
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,1816
Atlantic Region,Male,0 to 19 years,170
Atlantic Region,Male,0 to 19 years,1154
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,1154
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,36
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,35
Atlantic Region,Male,0 to 19 years,1
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,36
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,35
Atlantic Region,Male,0 to 19 years,1
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,6795
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,6721
Atlantic Region,Male,0 to 19 years,74
Atlantic Region,Male,0 to 19 years,10
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,10
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,64
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,59
Atlantic Region,Male,0 to 19 years,5
Atlantic Region,Male,0 to 19 years,3752
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,3683
Atlantic Region,Male,0 to 19 years,69
Atlantic Region,Male,0 to 19 years,2969
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,2969
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,20 to 29 years,9139
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,8650
Atlantic Region,Male,20 to 29 years,489
Atlantic Region,Male,20 to 29 years,13
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,10
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,22
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,19
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,5648
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,5165
Atlantic Region,Male,20 to 29 years,483
Atlantic Region,Male,20 to 29 years,3456
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3456
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3004
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,2558
Atlantic Region,Male,20 to 29 years,446
Atlantic Region,Male,20 to 29 years,9
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,7
Atlantic Region,Male,20 to 29 years,2
Atlantic Region,Male,20 to 29 years,17
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,14
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,2100
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,1659
Atlantic Region,Male,20 to 29 years,441
Atlantic Region,Male,20 to 29 years,878
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,878
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,103
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,102
Atlantic Region,Male,20 to 29 years,1
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,103
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,102
Atlantic Region,Male,20 to 29 years,1
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,6032
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,5990
Atlantic Region,Male,20 to 29 years,42
Atlantic Region,Male,20 to 29 years,4
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,1
Atlantic Region,Male,20 to 29 years,5
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,5
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3445
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3404
Atlantic Region,Male,20 to 29 years,41
Atlantic Region,Male,20 to 29 years,2578
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,2578
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,30 to 39 years,8744
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,8085
Atlantic Region,Male,30 to 39 years,659
Atlantic Region,Male,30 to 39 years,16
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,13
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,43
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,40
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,5015
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,4362
Atlantic Region,Male,30 to 39 years,653
Atlantic Region,Male,30 to 39 years,3670
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,3670
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,2860
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,2237
Atlantic Region,Male,30 to 39 years,623
Atlantic Region,Male,30 to 39 years,7
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,4
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,22
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,19
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,1780
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,1163
Atlantic Region,Male,30 to 39 years,617
Atlantic Region,Male,30 to 39 years,1051
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,1051
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,94
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,93
Atlantic Region,Male,30 to 39 years,1
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,93
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,92
Atlantic Region,Male,30 to 39 years,1
Atlantic Region,Male,30 to 39 years,1
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,1
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,5790
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,5755
Atlantic Region,Male,30 to 39 years,35
Atlantic Region,Male,30 to 39 years,9
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,9
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,21
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,21
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,3142
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,3107
Atlantic Region,Male,30 to 39 years,35
Atlantic Region,Male,30 to 39 years,2618
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,2618
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,40 to 49 years,8126
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,7635
Atlantic Region,Male,40 to 49 years,491
Atlantic Region,Male,40 to 49 years,43
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,36
Atlantic Region,Male,40 to 49 years,7
Atlantic Region,Male,40 to 49 years,86
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,71
Atlantic Region,Male,40 to 49 years,15
Atlantic Region,Male,40 to 49 years,4451
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,3982
Atlantic Region,Male,40 to 49 years,469
Atlantic Region,Male,40 to 49 years,3546
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,3546
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,2568
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,2126
Atlantic Region,Male,40 to 49 years,442
Atlantic Region,Male,40 to 49 years,20
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,13
Atlantic Region,Male,40 to 49 years,7
Atlantic Region,Male,40 to 49 years,41
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,28
Atlantic Region,Male,40 to 49 years,13
Atlantic Region,Male,40 to 49 years,1486
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,1064
Atlantic Region,Male,40 to 49 years,422
Atlantic Region,Male,40 to 49 years,1021
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,1021
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,66
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,66
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,66
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,66
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,5492
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,5443
Atlantic Region,Male,40 to 49 years,49
Atlantic Region,Male,40 to 49 years,23
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,23
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,45
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,43
Atlantic Region,Male,40 to 49 years,2
Atlantic Region,Male,40 to 49 years,2899
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,2852
Atlantic Region,Male,40 to 49 years,47
Atlantic Region,Male,40 to 49 years,2525
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,40 to 49 years,2525
Atlantic Region,Male,40 to 49 years,0
Atlantic Region,Male,50 to 59 years,10089
Atlantic Region,Male,50 to 59 years,33
Atlantic Region,Male,50 to 59 years,9466
Atlantic Region,Male,50 to 59 years,590
Atlantic Region,Male,50 to 59 years,95
Atlantic Region,Male,50 to 59 years,19
Atlantic Region,Male,50 to 59 years,56
Atlantic Region,Male,50 to 59 years,20
Atlantic Region,Male,50 to 59 years,160
Atlantic Region,Male,50 to 59 years,4
Atlantic Region,Male,50 to 59 years,129
Atlantic Region,Male,50 to 59 years,27
Atlantic Region,Male,50 to 59 years,4636
Atlantic Region,Male,50 to 59 years,10
Atlantic Region,Male,50 to 59 years,4083
Atlantic Region,Male,50 to 59 years,543
Atlantic Region,Male,50 to 59 years,5198
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,5198
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,2571
Atlantic Region,Male,50 to 59 years,15
Atlantic Region,Male,50 to 59 years,2037
Atlantic Region,Male,50 to 59 years,519
Atlantic Region,Male,50 to 59 years,39
Atlantic Region,Male,50 to 59 years,7
Atlantic Region,Male,50 to 59 years,12
Atlantic Region,Male,50 to 59 years,20
Atlantic Region,Male,50 to 59 years,75
Atlantic Region,Male,50 to 59 years,3
Atlantic Region,Male,50 to 59 years,46
Atlantic Region,Male,50 to 59 years,26
Atlantic Region,Male,50 to 59 years,1534
Atlantic Region,Male,50 to 59 years,5
Atlantic Region,Male,50 to 59 years,1056
Atlantic Region,Male,50 to 59 years,473
Atlantic Region,Male,50 to 59 years,923
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,923
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,59
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,56
Atlantic Region,Male,50 to 59 years,3
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,5
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,5
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,52
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,49
Atlantic Region,Male,50 to 59 years,3
Atlantic Region,Male,50 to 59 years,2
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,2
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,7459
Atlantic Region,Male,50 to 59 years,18
Atlantic Region,Male,50 to 59 years,7373
Atlantic Region,Male,50 to 59 years,68
Atlantic Region,Male,50 to 59 years,56
Atlantic Region,Male,50 to 59 years,12
Atlantic Region,Male,50 to 59 years,44
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,80
Atlantic Region,Male,50 to 59 years,1
Atlantic Region,Male,50 to 59 years,78
Atlantic Region,Male,50 to 59 years,1
Atlantic Region,Male,50 to 59 years,3050
Atlantic Region,Male,50 to 59 years,5
Atlantic Region,Male,50 to 59 years,2978
Atlantic Region,Male,50 to 59 years,67
Atlantic Region,Male,50 to 59 years,4273
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,50 to 59 years,4273
Atlantic Region,Male,50 to 59 years,0
Atlantic Region,Male,60 to 69 years,8615
Atlantic Region,Male,60 to 69 years,85
Atlantic Region,Male,60 to 69 years,7928
Atlantic Region,Male,60 to 69 years,602
Atlantic Region,Male,60 to 69 years,156
Atlantic Region,Male,60 to 69 years,32
Atlantic Region,Male,60 to 69 years,103
Atlantic Region,Male,60 to 69 years,21
Atlantic Region,Male,60 to 69 years,260
Atlantic Region,Male,60 to 69 years,15
Atlantic Region,Male,60 to 69 years,194
Atlantic Region,Male,60 to 69 years,51
Atlantic Region,Male,60 to 69 years,3945
Atlantic Region,Male,60 to 69 years,33
Atlantic Region,Male,60 to 69 years,3382
Atlantic Region,Male,60 to 69 years,530
Atlantic Region,Male,60 to 69 years,4254
Atlantic Region,Male,60 to 69 years,5
Atlantic Region,Male,60 to 69 years,4249
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,1978
Atlantic Region,Male,60 to 69 years,46
Atlantic Region,Male,60 to 69 years,1452
Atlantic Region,Male,60 to 69 years,480
Atlantic Region,Male,60 to 69 years,59
Atlantic Region,Male,60 to 69 years,11
Atlantic Region,Male,60 to 69 years,29
Atlantic Region,Male,60 to 69 years,19
Atlantic Region,Male,60 to 69 years,96
Atlantic Region,Male,60 to 69 years,7
Atlantic Region,Male,60 to 69 years,42
Atlantic Region,Male,60 to 69 years,47
Atlantic Region,Male,60 to 69 years,1144
Atlantic Region,Male,60 to 69 years,27
Atlantic Region,Male,60 to 69 years,703
Atlantic Region,Male,60 to 69 years,414
Atlantic Region,Male,60 to 69 years,679
Atlantic Region,Male,60 to 69 years,1
Atlantic Region,Male,60 to 69 years,678
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,53
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,52
Atlantic Region,Male,60 to 69 years,1
Atlantic Region,Male,60 to 69 years,5
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,5
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,3
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,3
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,43
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,42
Atlantic Region,Male,60 to 69 years,1
Atlantic Region,Male,60 to 69 years,2
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,2
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,60 to 69 years,6584
Atlantic Region,Male,60 to 69 years,39
Atlantic Region,Male,60 to 69 years,6424
Atlantic Region,Male,60 to 69 years,121
Atlantic Region,Male,60 to 69 years,92
Atlantic Region,Male,60 to 69 years,21
Atlantic Region,Male,60 to 69 years,69
Atlantic Region,Male,60 to 69 years,2
Atlantic Region,Male,60 to 69 years,161
Atlantic Region,Male,60 to 69 years,8
Atlantic Region,Male,60 to 69 years,149
Atlantic Region,Male,60 to 69 years,4
Atlantic Region,Male,60 to 69 years,2758
Atlantic Region,Male,60 to 69 years,6
Atlantic Region,Male,60 to 69 years,2637
Atlantic Region,Male,60 to 69 years,115
Atlantic Region,Male,60 to 69 years,3573
Atlantic Region,Male,60 to 69 years,4
Atlantic Region,Male,60 to 69 years,3569
Atlantic Region,Male,60 to 69 years,0
Atlantic Region,Male,70 to 79 years,6635
Atlantic Region,Male,70 to 79 years,246
Atlantic Region,Male,70 to 79 years,5642
Atlantic Region,Male,70 to 79 years,747
Atlantic Region,Male,70 to 79 years,168
Atlantic Region,Male,70 to 79 years,53
Atlantic Region,Male,70 to 79 years,80
Atlantic Region,Male,70 to 79 years,35
Atlantic Region,Male,70 to 79 years,458
Atlantic Region,Male,70 to 79 years,50
Atlantic Region,Male,70 to 79 years,300
Atlantic Region,Male,70 to 79 years,108
Atlantic Region,Male,70 to 79 years,3129
Atlantic Region,Male,70 to 79 years,110
Atlantic Region,Male,70 to 79 years,2416
Atlantic Region,Male,70 to 79 years,603
Atlantic Region,Male,70 to 79 years,2880
Atlantic Region,Male,70 to 79 years,33
Atlantic Region,Male,70 to 79 years,2846
Atlantic Region,Male,70 to 79 years,1
Atlantic Region,Male,70 to 79 years,1646
Atlantic Region,Male,70 to 79 years,149
Atlantic Region,Male,70 to 79 years,924
Atlantic Region,Male,70 to 79 years,573
Atlantic Region,Male,70 to 79 years,72
Atlantic Region,Male,70 to 79 years,27
Atlantic Region,Male,70 to 79 years,12
Atlantic Region,Male,70 to 79 years,33
Atlantic Region,Male,70 to 79 years,176
Atlantic Region,Male,70 to 79 years,30
Atlantic Region,Male,70 to 79 years,54
Atlantic Region,Male,70 to 79 years,92
Atlantic Region,Male,70 to 79 years,932
Atlantic Region,Male,70 to 79 years,78
Atlantic Region,Male,70 to 79 years,406
Atlantic Region,Male,70 to 79 years,448
Atlantic Region,Male,70 to 79 years,466
Atlantic Region,Male,70 to 79 years,14
Atlantic Region,Male,70 to 79 years,452
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,20
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,20
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,1
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,1
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,6
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,6
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,11
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,11
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,2
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,2
Atlantic Region,Male,70 to 79 years,0
Atlantic Region,Male,70 to 79 years,4969
Atlantic Region,Male,70 to 79 years,97
Atlantic Region,Male,70 to 79 years,4698
Atlantic Region,Male,70 to 79 years,174
Atlantic Region,Male,70 to 79 years,95
Atlantic Region,Male,70 to 79 years,26
Atlantic Region,Male,70 to 79 years,67
Atlantic Region,Male,70 to 79 years,2
Atlantic Region,Male,70 to 79 years,276
Atlantic Region,Male,70 to 79 years,20
Atlantic Region,Male,70 to 79 years,240
Atlantic Region,Male,70 to 79 years,16
Atlantic Region,Male,70 to 79 years,2186
Atlantic Region,Male,70 to 79 years,32
Atlantic Region,Male,70 to 79 years,1999
Atlantic Region,Male,70 to 79 years,155
Atlantic Region,Male,70 to 79 years,2412
Atlantic Region,Male,70 to 79 years,19
Atlantic Region,Male,70 to 79 years,2392
Atlantic Region,Male,70 to 79 years,1
Atlantic Region,Male,80 years and over,5809
Atlantic Region,Male,80 years and over,401
Atlantic Region,Male,80 years and over,4320
Atlantic Region,Male,80 years and over,1088
Atlantic Region,Male,80 years and over,68
Atlantic Region,Male,80 years and over,24
Atlantic Region,Male,80 years and over,31
Atlantic Region,Male,80 years and over,13
Atlantic Region,Male,80 years and over,548
Atlantic Region,Male,80 years and over,117
Atlantic Region,Male,80 years and over,324
Atlantic Region,Male,80 years and over,107
Atlantic Region,Male,80 years and over,3066
Atlantic Region,Male,80 years and over,207
Atlantic Region,Male,80 years and over,1891
Atlantic Region,Male,80 years and over,968
Atlantic Region,Male,80 years and over,2127
Atlantic Region,Male,80 years and over,53
Atlantic Region,Male,80 years and over,2074
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,2021
Atlantic Region,Male,80 years and over,224
Atlantic Region,Male,80 years and over,964
Atlantic Region,Male,80 years and over,833
Atlantic Region,Male,80 years and over,23
Atlantic Region,Male,80 years and over,7
Atlantic Region,Male,80 years and over,4
Atlantic Region,Male,80 years and over,12
Atlantic Region,Male,80 years and over,190
Atlantic Region,Male,80 years and over,47
Atlantic Region,Male,80 years and over,55
Atlantic Region,Male,80 years and over,88
Atlantic Region,Male,80 years and over,1247
Atlantic Region,Male,80 years and over,149
Atlantic Region,Male,80 years and over,365
Atlantic Region,Male,80 years and over,733
Atlantic Region,Male,80 years and over,561
Atlantic Region,Male,80 years and over,21
Atlantic Region,Male,80 years and over,540
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,3
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,3
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,3
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,3
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,0
Atlantic Region,Male,80 years and over,3785
Atlantic Region,Male,80 years and over,177
Atlantic Region,Male,80 years and over,3353
Atlantic Region,Male,80 years and over,255
Atlantic Region,Male,80 years and over,45
Atlantic Region,Male,80 years and over,17
Atlantic Region,Male,80 years and over,27
Atlantic Region,Male,80 years and over,1
Atlantic Region,Male,80 years and over,358
Atlantic Region,Male,80 years and over,70
Atlantic Region,Male,80 years and over,269
Atlantic Region,Male,80 years and over,19
Atlantic Region,Male,80 years and over,1816
Atlantic Region,Male,80 years and over,58
Atlantic Region,Male,80 years and over,1523
Atlantic Region,Male,80 years and over,235
Atlantic Region,Male,80 years and over,1566
Atlantic Region,Male,80 years and over,32
Atlantic Region,Male,80 years and over,1534
Atlantic Region,Male,80 years and over,0
Atlantic Region,Female,0 to 19 years,10374
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,10043
Atlantic Region,Female,0 to 19 years,331
Atlantic Region,Female,0 to 19 years,3
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,2
Atlantic Region,Female,0 to 19 years,1
Atlantic Region,Female,0 to 19 years,69
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,44
Atlantic Region,Female,0 to 19 years,25
Atlantic Region,Female,0 to 19 years,5972
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,5667
Atlantic Region,Female,0 to 19 years,305
Atlantic Region,Female,0 to 19 years,4330
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,4330
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,3288
Atlantic Region,Female,0 to 19 years,0
Atlantic Region,Female,0 to 19 years,3023
Atlantic Region,Female,0 to 19 years,265
Atlantic Region,Female,0 to 19 years,1
Atlantic Region,Female,0 to 19 years,0
